cruise	Year	Month	Instrument	tcut1	tcut1_gt_lt	tcut2	tcut2_gt_lt	lim1_1	lim1_2	lim2_1	lim2_2	fact.sd2	lim3_1	lim3_2	fact.sd3	lim4_1	lim4_2	lim5_1	lim5_2	fact.sd5	lim6_1	lim6_2	fact.sd6	lim7_1	lim7_2	fact.sd7	fact.sd8	spar.8	Comment
TN266	2011	July	740	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	1500000	4	10	100	0.00003	0.003	5	0.35	1.4	6	0.7	2.3	5	9	0	
TN267	2011	July	740	NA	NA	NA	NA	11.95	12.05	5000	18000	4	0	3000000	4	15	25	0.00001	0.003	5	1.3	2	6	0.7	2.3	5	9	0	
TN396_740	2021	November	740v2	NA	NA	NA	NA	11.95	12.05	1500	18000	3	0	3000000	3	300	1250	0.0005	0.03	5	0.35	1	6	0.7	2.3	5	8	0	
TN397_740	2021	November	740v2	NA	NA	NA	NA	11.95	12.05	3000	18000	2	0	5000000	2.5	300	3500	0.0001	0.02	2	0.35	0.9	6	0.6	1.4	5	9	0	
TN398	2021	December	740v2	2021-12-30 2:00	geq	NA	NA	11.95	12.05	5000	18000	2	0	5000000	3	300	3500	0.0005	0.007	3	0.35	0.9	6	0.7	1.4	5	6	0	
TN412_130	2023	January	130	NA	NA	NA	NA	11.9	12.1	5000	50000	4	0	6000000	4	300	3500	0.0001	0.003	5	0.35	1.25	6	0.7	1.4	6	12	NULL	
TN413	2023	February	130	NA	NA	NA	NA	11.9	12.1	5000	50000	4	0	6000000	4	300	3500	0.0001	0.003	5	0.35	1.25	6	0.7	1.7	6	12	NULL	
TN414	2023	March	130	NA	NA	NA	NA	11.95	12.05	5000	50000	4	1000000	9000000	4	300	3500	0.0001	0.003	5	0.35	1.25	6	0.7	1.4	6	12	NULL	
Tokyo_1	2011	May	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	3000000	4	160	1000	0.0003	0.01	5	0.35	1.2	6	0.7	1.4	5	8	0	
Tokyo_2	2011	July	751	NA	NA	NA	NA	11.95	12.05	2000	18000	4	0	3000000	4	160	1000	0.0005	0.01	5	0.35	0.9	6	0.7	2.3	5	8	0	
Tokyo_3	2011	October	751	NA	NA	NA	NA	1.5	12.05	2000	18000	4	0	5000000	4	300	3500	0.0001	0.05	5	0.35	0.9	6	0.7	1.4	5	8	missing	
Tokyo_4	2012	January	751	NA	NA	NA	NA	11.95	12.05	1800	20000	4	0	5000000	5	50	3500	0.0002	0.1	5	0.35	1	7	0.5	1.4	5	10	missing	
